tf	n_autosomal_sites	n_written	status
TCF7L2	115402	10000	kept
TCFL5	12	0	dropped: <10000 autosomal sites
TEAD1	149236	10000	kept
TEAD2	1832	0	dropped: <10000 autosomal sites
TEAD3	20650	10000	kept
TEAD4	182610	10000	kept
TERF1	2251	0	dropped: <10000 autosomal sites
TERF2	1113	0	dropped: <10000 autosomal sites
TET1	1000	0	dropped: <10000 autosomal sites
TET2	26669	10000	kept
TET3	6665	0	dropped: <10000 autosomal sites
TFAP2A	110809	10000	kept
TFAP2C	196083	10000	kept
TFAP4	129195	10000	kept
TFCP2	520	0	dropped: <10000 autosomal sites
TFDP1	10474	10000	kept
TFDP2	5	0	dropped: <10000 autosomal sites
TFE3	15415	10000	kept
TFEB	5857	0	dropped: <10000 autosomal sites
TGIF1	1	0	dropped: <10000 autosomal sites
TGIF2	3525	0	dropped: <10000 autosomal sites
THAP1	1415	0	dropped: <10000 autosomal sites
THAP11	28131	10000	kept
THRA	424	0	dropped: <10000 autosomal sites
THRB	9780	0	dropped: <10000 autosomal sites
TLX1	8299	0	dropped: <10000 autosomal sites
TP53	444433	10000	kept
TP63	330728	10000	kept
TP73	20105	10000	kept
TRPS1	685335	10000	kept
TSHZ1	959	0	dropped: <10000 autosomal sites
TWIST1	33186	10000	kept
UBP1	3707	0	dropped: <10000 autosomal sites
USF1	89359	10000	kept
USF2	74813	10000	kept
VDR	100469	10000	kept
VEZF1	51325	10000	kept
WT1	168716	10000	kept
XBP1	52434	10000	kept
YBX1	1100	0	dropped: <10000 autosomal sites
YBX3	31	0	dropped: <10000 autosomal sites
YY1	267397	10000	kept
YY2	7949	0	dropped: <10000 autosomal sites
ZBED1	3383	0	dropped: <10000 autosomal sites
ZBED4	228	0	dropped: <10000 autosomal sites
ZBED5	1942	0	dropped: <10000 autosomal sites
ZBTB1	266	0	dropped: <10000 autosomal sites
ZBTB10	2288	0	dropped: <10000 autosomal sites
ZBTB11	12600	10000	kept
ZBTB12	2176	0	dropped: <10000 autosomal sites
ZBTB14	10598	10000	kept
ZBTB16	24893	10000	kept
ZBTB17	39759	10000	kept
ZBTB18	1318	0	dropped: <10000 autosomal sites
ZBTB2	40808	10000	kept
ZBTB20	6929	0	dropped: <10000 autosomal sites
ZBTB24	7401	0	dropped: <10000 autosomal sites
ZBTB26	29542	10000	kept
ZBTB33	77822	10000	kept
ZBTB40	34550	10000	kept
ZBTB42	19103	10000	kept
ZBTB44	2532	0	dropped: <10000 autosomal sites
ZBTB48	112009	10000	kept
ZBTB49	40	0	dropped: <10000 autosomal sites
ZBTB5	987	0	dropped: <10000 autosomal sites
ZBTB6	15090	10000	kept
ZBTB7A	191061	10000	kept
ZBTB7B	4295	0	dropped: <10000 autosomal sites
ZBTB8A	8016	0	dropped: <10000 autosomal sites
ZEB1	109951	10000	kept
ZEB2	17579	10000	kept
ZFAT	5938	0	dropped: <10000 autosomal sites
ZFHX2	25906	10000	kept
ZFHX3	7424	0	dropped: <10000 autosomal sites
ZFP1	13446	10000	kept
ZFP28	2231	0	dropped: <10000 autosomal sites
ZFP3	1639	0	dropped: <10000 autosomal sites
ZFP37	42	0	dropped: <10000 autosomal sites
ZFP42	7802	0	dropped: <10000 autosomal sites
ZFP64	64400	10000	kept
ZFP69B	3499	0	dropped: <10000 autosomal sites
ZFP82	558	0	dropped: <10000 autosomal sites
ZFP91	3540	0	dropped: <10000 autosomal sites
ZFX	73703	10000	kept
ZHX1	4084	0	dropped: <10000 autosomal sites
ZHX2	35061	10000	kept
ZIC2	28185	10000	kept
ZIC5	28041	10000	kept
ZIK1	27	0	dropped: <10000 autosomal sites
ZIM3	12644	10000	kept
ZKSCAN1	18809	10000	kept
